(7.03066,-5.37606),
(5.75271,-7.0597),
(3.25238,-7.84331),
(1.80934,-8.60912),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),

(7.03066,-5.37606),
(5.75271,-7.0597),
(3.25238,-7.84331),
(1.80934,-8.60912),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),

(7.03067,-5.37605),
(5.75271,-7.0597),
(3.25238,-7.84331),
(1.80934,-8.60911),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),

(7.03068,-5.37604),
(5.75273,-7.05969),
(3.25239,-7.84331),
(1.80936,-8.60911),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),

(7.03069,-5.37602),
(5.75276,-7.05967),
(3.25241,-7.8433),
(1.80938,-8.60911),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),

(7.03071,-5.37599),
(5.75279,-7.05964),
(3.25242,-7.84329),
(1.8094,-8.6091),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),

(7.03074,-5.37596),
(5.75283,-7.05961),
(3.25245,-7.84328),
(1.80944,-8.6091),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),

(7.03077,-5.37592),
(5.75287,-7.05958),
(3.25247,-7.84327),
(1.80947,-8.60909),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),

(7.0308,-5.37588),
(5.75291,-7.05954),
(3.2525,-7.84326),
(1.8095,-8.60908),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),

(7.03084,-5.37583),
(5.75296,-7.0595),
(3.25253,-7.84325),
(1.80954,-8.60907),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),

(7.03087,-5.37578),
(5.753,-7.05946),
(3.25256,-7.84323),
(1.80958,-8.60906),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),

(7.03092,-5.37572),
(5.75306,-7.05942),
(3.2526,-7.84322),
(1.80962,-8.60906),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),

(7.03097,-5.37566),
(5.75311,-7.05938),
(3.25264,-7.8432),
(1.80966,-8.60905),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),

(7.03102,-5.37559),
(5.75317,-7.05933),
(3.25268,-7.84319),
(1.8097,-8.60904),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),

(7.03107,-5.37552),
(5.75324,-7.05927),
(3.25272,-7.84317),
(1.80975,-8.60903),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),

(7.03113,-5.37544),
(5.75331,-7.05922),
(3.25276,-7.84315),
(1.8098,-8.60902),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),
(0,0),

(7.0312,-5.37536),
(5.75339,-7.05915),
